feature,target,mean,median,mean_abs,p25,p75,sign_consistency,n_anchors,by_year,by_regime,label,flags,nonlinear_oof_r2
consensus_20,rev_rank,0.036,0.034,0.04,0.013,0.061,0.85,100,"{""2014"": 0.048, ""2015"": 0.045, ""2016"": 0.029, ""2017"": 0.03, ""2018"": 0.038, ""2019"": 0.026, ""2020"": 0.025, ""2021"": 0.014, ""2022"": 0.014, ""2023"": 0.055, ""2024"": 0.033, ""2025"": 0.06, ""2026"": 0.03}","{""normal"": 0.037, ""weak"": 0.032}",LOW_OBSERVED_OVERLAP,,0.0011
consensus_20,fp,0.003,0.002,0.042,-0.031,0.037,0.52,100,"{""2014"": -0.012, ""2015"": -0.022, ""2016"": -0.016, ""2017"": -0.007, ""2018"": 0.018, ""2019"": -0.016, ""2020"": -0.022, ""2021"": 0.036, ""2022"": -0.005, ""2023"": -0.004, ""2024"": 0.019, ""2025"": 0.034, ""2026"": 0.039}","{""normal"": 0.011, ""weak"": -0.021}",LOW_OBSERVED_OVERLAP,,0.0004
consensus_20,chip,0.125,0.125,0.125,0.101,0.156,1.0,79,"{""2016"": 0.078, ""2017"": 0.116, ""2018"": 0.116, ""2019"": 0.132, ""2020"": 0.121, ""2021"": 0.084, ""2022"": 0.075, ""2023"": 0.152, ""2024"": 0.155, ""2025"": 0.14, ""2026"": 0.152}","{""normal"": 0.13, ""weak"": 0.108}",LOW_OBSERVED_OVERLAP,,0.0138
consensus_20,tilt,0.079,0.09,0.092,0.037,0.123,0.86,100,"{""2014"": -0.012, ""2015"": -0.022, ""2016"": -0.007, ""2017"": 0.085, ""2018"": 0.099, ""2019"": 0.107, ""2020"": 0.094, ""2021"": 0.085, ""2022"": 0.06, ""2023"": 0.121, ""2024"": 0.129, ""2025"": 0.126, ""2026"": 0.139}","{""normal"": 0.09, ""weak"": 0.048}",LOW_OBSERVED_OVERLAP,,0.006
consensus_20,size,-0.026,-0.025,0.103,-0.127,0.048,0.57,100,"{""2014"": -0.019, ""2015"": -0.049, ""2016"": -0.023, ""2017"": -0.003, ""2018"": -0.032, ""2019"": -0.012, ""2020"": -0.087, ""2021"": 0.021, ""2022"": 0.031, ""2023"": -0.009, ""2024"": 0.02, ""2025"": -0.076, ""2026"": -0.106}","{""normal"": -0.006, ""weak"": -0.085}",LOW_OBSERVED_OVERLAP,,
consensus_20,liquidity,-0.003,-0.004,0.08,-0.065,0.058,0.51,100,"{""2014"": 0.034, ""2015"": -0.024, ""2016"": -0.006, ""2017"": 0.003, ""2018"": -0.018, ""2019"": 0.011, ""2020"": -0.049, ""2021"": 0.026, ""2022"": 0.042, ""2023"": 0.006, ""2024"": 0.01, ""2025"": -0.031, ""2026"": -0.046}","{""normal"": 0.012, ""weak"": -0.044}",LOW_OBSERVED_OVERLAP,,
consensus_20,volatility,0.008,-0.001,0.057,-0.044,0.048,0.49,100,"{""2014"": 0.051, ""2015"": 0.039, ""2016"": 0.017, ""2017"": -0.002, ""2018"": -0.001, ""2019"": -0.009, ""2020"": 0.036, ""2021"": -0.017, ""2022"": 0.027, ""2023"": 0.013, ""2024"": -0.031, ""2025"": -0.012, ""2026"": -0.011}","{""normal"": -0.002, ""weak"": 0.038}",LOW_OBSERVED_OVERLAP,,
consensus_20,turnover_rate,0.024,0.01,0.065,-0.04,0.081,0.57,100,"{""2014"": 0.085, ""2015"": 0.036, ""2016"": 0.016, ""2017"": 0.018, ""2018"": 0.012, ""2019"": 0.022, ""2020"": 0.02, ""2021"": -0.015, ""2022"": 0.05, ""2023"": 0.039, ""2024"": -0.008, ""2025"": 0.012, ""2026"": 0.003}","{""normal"": 0.021, ""weak"": 0.031}",LOW_OBSERVED_OVERLAP,,
diverge_mom20,score,0.02,0.014,0.043,-0.016,0.057,0.6,100,"{""2014"": -0.005, ""2015"": 0.048, ""2016"": 0.011, ""2017"": 0.036, ""2018"": -0.008, ""2019"": 0.015, ""2020"": 0.019, ""2021"": 0.01, ""2022"": 0.045, ""2023"": 0.047, ""2024"": 0.007, ""2025"": 0.009, ""2026"": 0.02}","{""normal"": 0.016, ""weak"": 0.031}",LOW_OBSERVED_OVERLAP,,
diverge_mom20,rev_rank,0.036,0.026,0.049,-0.004,0.076,0.71,100,"{""2014"": 0.008, ""2015"": 0.051, ""2016"": 0.018, ""2017"": 0.067, ""2018"": 0.008, ""2019"": 0.043, ""2020"": 0.035, ""2021"": 0.03, ""2022"": 0.052, ""2023"": 0.069, ""2024"": 0.036, ""2025"": 0.013, ""2026"": 0.041}","{""normal"": 0.037, ""weak"": 0.033}",LOW_OBSERVED_OVERLAP,,0.0013
